-87.789589,30.885155,"Walmart Supercenter; #2739,","Gas/Diesel,"
-87.000752,33.361937,"Walmart Supercenter; #0764,","Gas/Diesel,"
-86.999478,33.361967,"Murphy: USA; #7542,","Gas/Diesel,"
-86.7015166,33.5865737,"Murphy: USA; #7022,","Gas/Diesel,"
-86.684336,33.637771,"Wm Nbrhd Mkt; #5100,",
-86.924324,33.580015,"Walmart Supercenter; #1158,",
-86.739678,33.383703,"Wm Nbrhd Mkt; #3424,",
-86.820963,33.467775,"Wm Nbrhd Mkt; #4504,",
-86.675768,33.421066,"Walmart Supercenter; #2111,",
-86.629063,33.639944,"Walmart Supercenter; #2713,",
-86.625486,33.64461,"Sam's Club; #4817,","Gas,"
-86.702787,33.588879,"Walmart Supercenter; #0762,","Gas/Diesel,"
-86.154183,34.214719,"Walmart Supercenter; #0298,","Gas/Diesel,"
-86.156547,34.215927,"Murphy: USA; #6884,","Gas/Diesel,"
-87.171218,32.963891,"Walmart Supercenter; #0425,",
-87.071111,31.139671,"Walmart Supercenter; #1620,",
-86.7498748,33.146051,"Murphy: USA; #6694,","Gas/Diesel,"
-86.749933,33.146733,"Walmart Supercenter; #3271,","Gas/Diesel,"
-85.713114,34.162109,"Walmart Supercenter; #5126,","Gas/Diesel,"
-85.7141867,34.161121,"Murphy: USA; #6924,","Gas/Diesel,"
-86.61854,33.349443,"Murphy: USA; #7545,","Gas/Diesel,"
-86.619256,33.348741,"Walmart Supercenter; #4330,",
-86.6091614,32.819024,"Murphy: USA; #5686,","Gas,"
-86.608656,32.81751,"Walmart Supercenter; #0424,","Gas,"
-86.867642,34.206543,"Walmart Supercenter; #7280,",
-86.8416667,34.1515669,"Murphy: USA; #6770,","Gas/Diesel,"
-86.84217,34.150102,"Walmart Supercenter; #0670,","Gas/Diesel,"
-87.9055252,30.6250114,"Murphy: USA; #6619,","Gas/Diesel,"
-87.855036,30.659206,"Sam's Club; #4990,","Gas/Diesel,"
-87.905836,30.625109,"Walmart Supercenter; #0934,","Gas/Diesel,"
-86.980726,34.589341,"Wm Nbrhd Mkt; #2488,",
-86.99665,34.556568,"Murphy: USA; #6500,","Gas,"
-86.996774,34.556577,"Walmart Supercenter; #0662,","Gas,"
-87.8490146,32.4968485,"Murphy: USA; #7274,","Gas/Diesel,"
-87.849767,32.493672,"Walmart Supercenter; #0731,","Gas/Diesel,"
-85.403192,31.178689,"Walmart Supercenter; #2534,","Gas/Diesel,"
-85.4020668,31.177897,"Murphy: USA; #6740,","Gas/Diesel,"
-85.427009,31.244343,"Sam's Club; #8192,","Gas,"
-85.450272,31.232255,"Wm Nbrhd Mkt; #5769,",
-85.440582,31.267021,"Walmart Supercenter; #0604,","Gas/Diesel,"
-85.4420013,31.2658539,"Murphy: USA; #6810,","Gas/Diesel,"
-85.8486633,31.3409863,"Murphy: USA; #5716,","Gas,"
-85.827301,31.315718,"Walmart Supercenter; #0734,","Gas,"
-85.169277,31.843765,"Walmart Supercenter; #1638,","Gas/Diesel,"
-85.1674238,31.8433604,"Murphy: USA; #7478,","Gas/Diesel,"
-86.9149259,33.4660593,"Murphy: USA; #7380,","Gas/Diesel,"
-87.851335,30.523594,"Walmart Supercenter; #4333,",
-87.8524605,30.5214096,"Murphy: USA; #7506,","Gas/Diesel,"
-87.8091542,33.7337371,"Murphy: USA; #5746,","Gas,"
-87.809441,33.731747,"Walmart Supercenter; #1052,","Gas,"
-87.657927,34.818559,"Wm Nbrhd Mkt; #4188,",
-87.686623,34.841215,"Walmart Supercenter; #4187,",
-87.626348,34.834258,"Walmart Supercenter; #0766,",
-87.633309,34.840258,"Sam's Club; #8196,",
-87.6834331,30.3830586,"Murphy: USA; #5720,","Gas,"
-87.685801,30.382455,"Walmart Supercenter; #0904,","Gas,"
-85.7594711,34.4385519,"Murphy: USA; #5811,","Gas,"
-85.760699,34.439762,"Walmart Supercenter; #0691,","Gas,"
-85.98755,34.01215,"Walmart Supercenter; #0301,",
-86.823856,33.647208,"Walmart Supercenter; #1201,","Gas/Diesel,"
-86.8244629,33.6484947,"Murphy: USA; #6891,","Gas/Diesel,"
-85.89959,31.051002,"Walmart; #1063,",
-86.646321,31.849455,"Walmart Supercenter; #1462,","Gas/Diesel,"
-86.6433556,31.851503,"Murphy: USA; #7087,","Gas/Diesel,"
-87.6868878,30.264755,"Murphy: USA; #7079,","Gas/Diesel,"
-87.686455,30.266434,"Walmart Supercenter; #2748,","Gas/Diesel,"
-86.27847,34.300251,"Walmart Supercenter; #0681,","Gas,"
-86.2794189,34.3012543,"Murphy: USA; #5786,","Gas,"
-87.598816,34.239773,"Walmart Supercenter; #0409,",
-87.990125,34.119895,"Walmart Supercenter; #1100,",
-86.948615,34.453313,"Walmart Supercenter; #1124,","Gas/Diesel,"
-86.9476242,34.4543839,"Murphy: USA; #6599,","Gas/Diesel,"
-86.57179,34.943577,"Walmart Supercenter; #6878,","Gas,"
-86.851306,33.27955,"Wm Nbrhd Mkt; #4189,",
-86.819967,33.448284,"Sam's Club; #8247,","Gas,"
-86.821477,33.447699,"Walmart Supercenter; #1481,",
-86.82546,33.362717,"Walmart Supercenter; #1229,",
-86.808073,33.373856,"Sam's Club; #4724,","Gas,"
-86.798124,33.393198,"Wm Nbrhd Mkt; #3184,",
-86.968613,33.458664,"Walmart Supercenter; #4497,",
-86.597427,34.786949,"Walmart Pharmacy/Clinic; #7254,",
-86.5701447,34.6158867,"Murphy: USA; #5667,","Gas,"
-86.569318,34.615841,"Walmart Supercenter; #0434,","Gas,"
-86.5933075,34.7632942,"Murphy: USA; #7029,","Gas/Diesel,"
-86.492693,34.818134,"Walmart Supercenter; #7324,",
-86.592125,34.764268,"Walmart Supercenter; #0433,","Gas/Diesel,"
-86.571387,34.642811,"Sam's Club; #8107,","Gas,"
-86.62637,34.711967,"Wm Nbrhd Mkt; #5925,","Gas/Diesel,"
-86.585134,34.702931,"Walmart Supercenter; #0375,",
-86.633926,34.749954,"Wm Nbrhd Mkt; #3185,",
-86.658454,34.736543,"Sam's Club; #4776,","Gas,"
-86.675545,34.745947,"Walmart Supercenter; #0332,",
-86.541176,34.647125,"Wm Nbrhd Mkt; #5716,",
-86.720333,33.528144,"Walmart Supercenter; #1711,",
-86.692638,33.533158,"Sam's Club; #8212,","Gas/Diesel,"
-87.8762598,31.5568831,"Murphy: USA; #5815,","Gas,"
-87.8761,31.55913,"Walmart Supercenter; #2760,","Gas,"
